Processes: 411 total, 4 running, 407 sleeping, 1814 threads 
2018/10/10 10:38:01
Load Avg: 1.87, 1.65, 1.67 
CPU usage: 12.91% user, 14.16% sys, 72.91% idle 
SharedLibs: 189M resident, 56M data, 18M linkedit.
MemRegions: 93775 total, 4977M resident, 138M private, 1459M shared.
PhysMem: 15G used (2855M wired), 958M unused.
VM: 1863G vsize, 1302M framework vsize, 3123227(0) swapins, 3634695(0) swapouts.
Networks: packets: 0/0B in, 0/0B out.
Disks: 0/0B read, 0/0B written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS     %CPU_ME %CPU_OTHRS UID FAULTS   COW    MSGSENT   MSGRECV   SYSBSD    SYSMACH   CSW       PAGEINS IDLEW POWER INSTRS CYCLES USER                   #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
22498  recentsd         0.0  00:00.44 2     1   69     2916K  0B     860K   22498 1     sleeping *0[24]     0.00000 0.00000    501 12164    202    2527      1629      14136     6131      4706      129     0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
22490  com.apple.toneli 0.0  00:00.13 2     2   28     1108K  0B     596K   22490 1     sleeping  0[0]      0.00000 0.00000    501 4467     132    198       463       2897      773       1489      0       0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
16388  com.apple.Commer 0.0  00:00.15 2     2   40     3132K  0B     2296K  16388 1     sleeping *0[7]      0.00000 0.00000    501 7393     187    264       504       3671      885       1589      41      0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
16385  storeinstalld    0.0  00:00.10 2     1   34     1292K  0B     688K   16385 1     sleeping *0[5]      0.00000 0.00000    0   5614     159    501       586       6891      2024      1337      1       0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
14553  ContextService   0.0  00:00.34 2     2   32     3804K  0B     3040K  14553 1     sleeping  0[0]      0.00000 0.00000    501 6793     708    376       598       3548      1276      2755      733     0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
14552  com.apple.photom 0.0  00:01.13 2     2   47     9128K  0B     5916K  14552 1     sleeping *0[6]      0.00000 0.00000    501 19657    610    1729      1020      16734     3217      7020      578     0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
12724  dprivacyd        0.0  00:00.72 2     2   67     4068K  0B     3164K  12724 1     sleeping  0[0]      0.00000 0.00000    0   10306    205    682       771       9260      5105      4784      161     0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
12704  siriknowledged   0.0  00:00.34 2     2   42     2284K  0B     1312K  12704 1     sleeping *0[4]      0.00000 0.00000    501 10802    210    1576      1327      10426     3349      6045      117     0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
12694  FMIPClientXPCSer 0.0  00:00.24 2     1   38     2080K  0B     1568K  12694 1     sleeping *0[42]     0.00000 0.00000    501 7391     228    665       646       7845      2404      1902      472     0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
12635  mdworker         0.0  01:16.03 2     1   48     4656K  0B     4192K  12635 1     sleeping *0[1]      0.00000 0.00000    501 15300    194    615       637       1136218   2360      192755    6       0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
12634  mdworker         0.0  00:15.68 2     1   42     4072K  0B     3608K  12634 1     sleeping *0[1]      0.00000 0.00000    89  15424    195    682       655       306436    2364      31610     26      0     0.0   0      0      _spotlight             N/A    N/A   N/A   N/A   N/A   N/A  
12626  com.apple.sbd    0.0  00:01.82 3     1   76     9672K  0B     5092K  12626 1     sleeping *0[8]      0.00000 0.00000    501 21177    238    1834      3254      59025     11738     25745     261     0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
12623  EscrowSecurityAl 0.0  00:00.18 2     1   58     1864K  0B     1104K  12623 1     sleeping  0[0]      0.00000 0.00000    501 11287    164    687       650       7678      2467      1899      96      0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
12614  PowerChime       0.0  00:10.49 3     1   223    13912K 0B     9860K  12614 1     sleeping *0[1]      0.00000 0.00000    501 50570    315    165166    38447     1329474   354002    258017    280     0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
10800  VTDecoderXPCServ 0.0  00:01.08 2     1   55     11920K 0B     10924K 10800 1     sleeping *0[345]    0.00000 0.00000    501 22809    203    30942     13716     17131     26575     11176     188     0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
10799  com.apple.audio. 0.0  00:00.02 2     2   14     944K   0B     764K   10799 1     sleeping *0[2]      0.00000 0.00000    501 3315     144    96        76        1265      254       352       0       0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
10271  fpsd             0.0  00:07.68 2     1   38     1612K  0B     736K   10271 1     sleeping *0[41504]  0.00000 0.00000    265 87966    152    250453    42992     1045263   418944    68552     253     0     0.0   0      0      _fpsd                  N/A    N/A   N/A   N/A   N/A   N/A  
10270  com.apple.BKAgen 0.0  00:00.27 2     1   58     2528K  0B     1200K  10270 1     sleeping *0[18]     0.00000 0.00000    501 10361    200    1076      904       11083     3590      3528      129     0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
9331   taskgated        0.0  00:01.42 4     1   56     3748K  0B     1804K  9331  1     sleeping *0[1]      0.00000 0.00000    0   6642     177    1144      4933      59941     7614      13628     13      0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
9006   MTLCompilerServi 0.0  00:00.58 2     2   21     17696K 0B     17528K 9006  1     sleeping *0[53]     0.00000 0.00000    0   17842    449    408       151       3053      675       1006      1805    0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
7389   top              0.0  00:00.30 1/1   0   14     3320K  0B     0B     7387  7387  running  *0[1]      0.00000 0.00000    0   1573     79     229888    114943    1892      118050    67        0       0     0.0   0      0      root                   N/A    N/A   N/A   N/A   N/A   N/A  
7388   sh               0.0  00:00.00 1     0   8      296K   0B     0B     7387  7387  sleeping *0[1]      0.00000 0.00000    501 232      115    14        7         47        19        2         0       0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
7387   sh               0.0  00:00.00 1     0   10     464K   0B     0B     7387  7256  sleeping *0[1]      0.00000 0.00000    501 492      162    27        13        277       49        2         0       0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
7380   Python           0.0  00:00.40 3     2   34     31732K 0B     0B     2260  2260  sleeping *0[1]      0.00000 0.00000    501 13268    502    130       36        17977     423       127       0       0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
7361   Python           0.0  00:00.28 2     1   33     16360K 0B     0B     2260  2260  sleeping *0[1]      0.00000 0.00000    501 8692     493    130       36        13204     409       170       0       0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
7336   Python           0.0  00:00.59 2     1   33     33360K 0B     0B     2260  2260  sleeping *0[1]      0.00000 0.00000    501 14031    509    132       36        18555     475       699       0       0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
7324   ReportMemoryExce 0.0  00:00.02 2     2   49     1320K  0B     0B     7324  1     sleeping *0[1]      0.00000 0.00000    269 1941     155    152       46        1185      344       248       0       0     0.0   0      0      _reportmemoryexception N/A    N/A   N/A   N/A   N/A   N/A  
7256   bash             0.0  00:00.03 1     0   21     708K   0B     0B     7256  2260  sleeping *0[1]      0.00000 0.00000    501 830      280    52        20        11107     107       70        34      0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
6817   QuickLookSatelli 0.0  00:00.35 3     2   66     5496K  0B     0B     6817  1     sleeping *0[11]     0.00000 0.00000    501 14346    262    600       170       8331      1743      1205      0       0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
6815   quicklookd       0.0  00:00.41 8     5   119    4408K  28672B 0B     6815  1     sleeping *0[20]     0.00000 0.00000    501 14087    241    1649      493       58982     3218      2277      0       0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
6430   mdworker_shared  0.0  00:00.13 4     1   61     9732K  0B     0B     6430  1     sleeping *0[1]      0.00000 0.00000    501 7660     195    921       376       2646      1088      390       134     0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
6429   mdworker_shared  0.0  00:00.12 4     1   61     11584K 0B     0B     6429  1     sleeping *0[1]      0.00000 0.00000    501 8112     195    876       361       2301      1010      315       13      0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
6375   mdworker_shared  0.0  00:00.28 4     1   61     8180K  0B     0B     6375  1     sleeping *0[1]      0.00000 0.00000    501 18056    195    676       281       1204      743       177       0       0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
6340   plugin-container 0.0  00:07.01 39    1   195    234M   0B     0B     64071 64071 sleeping *0[45]     0.00000 0.00000    501 174636   6102   12614     4519      77755     99975     28487     1035    0     0.0   0      0      species_decipit        N/A    N/A   N/A   N/A   N/A   N/A  
